width;height;bbox
2313;1179;2613536.1174861444,1222806.8617803617,2617140.4602403203,1224644.0948573928
2347;1284;2614723.5246655727,1257284.814311369,2614747.118651625,1257297.7221418296
2077;1234;2630064.2163000437,1237534.0632075842,2630090.8749435716,1237549.9018046537
2388;1199;2640420.0300861085,1244697.517939174,2640451.2835746994,1244713.2101220973
2087;1107;2602954.010279085,1230703.108843148,2603231.9684325387,1230850.5451995798
2172;1139;2592826.421382037,1211677.0100413852,2642820.8513944494,1237894.162796513
2401;1218;2618089.1072996696,1254708.7553322492,2621253.546874583,1256314.0395480944
2240;1227;2605919.9606057997,1251384.0538455814,2621974.130170955,1260178.0119064942
2362;1275;2590099.3300618147,1236956.7840142627,2649866.0147904186,1269218.6481247493
2426;1227;2613416.0836778446,1223093.3637486298,2618205.380662412,1225515.6503933386
2422;1315;2641794.3145307875,1240331.3580618363,2646585.5282367677,1242932.6982861815
2175;1437;2592078.1884786244,1220158.999841047,2635405.7109007593,1248785.0456896024
1989;1118;2602601.201528871,1235851.7543398154,2628190.6715812744,1250235.3780294016
1923;1125;2611220.0764020463,1239827.4497935518,2641915.197415223,1257784.8138808238
1940;1128;2605519.0935683,1222243.6591675333,2605989.9366134303,1222517.4277009903
2200;1109;2615532.0804477734,1225675.1684521807,2615561.515120943,1225690.0062033373
2190;1278;2608713.444858988,1223189.947773752,2640701.662182304,1241857.0444583173
2423;1263;2643506.13436979,1248441.6438884402,2645352.3565730625,1249403.995783914
2175;1152;2615755.377925307,1251141.561294761,2615777.2543450645,1251153.1482536397
1933;1324;2642630.08830453,1246963.8572242889,2645508.464551134,1248935.3886006488
2123;1187;2612246.816668961,1246106.430489607,2617505.029702793,1249046.3734340996
2204;1135;2607336.914439309,1232618.5190840734,2615925.4979920234,1237041.4058047317
2209;1374;2618598.150920914,1251396.2594765672,2623519.9964752574,1254457.6518675438
2213;1419;2593503.0822702963,1225115.6533883582,2595352.6630306607,1226301.6249649315
1981;1139;2637606.0941621936,1245283.9265615388,2638168.3416390656,1245607.197574238
1992;1273;2611403.904702288,1247456.3387600442,2611839.701017688,1247734.837108189
2557;1257;2607003.887811161,1259161.6188654772,2618199.7058574944,1264665.390192908
2258;1208;2622455.2295297696,1236551.3965594296,2622484.834042883,1236567.2345806172
2305;1152;2631191.232511625,1245941.619616912,2631230.6743837637,1245961.3319972607
2038;1253;2612295.973519601,1236776.478936264,2616408.369286,1239304.8557249282
2458;1101;2620183.424936372,1257881.6277483723,2641198.889447963,1267294.9826821645
2527;1289;2605245.7627753327,1237447.6856088922,2605884.633279806,1237773.5677142604
2038;1301;2638825.3325755843,1245136.7900549616,2641459.5196256987,1246818.3785496615
1959;1129;2595898.9596890253,1247962.301209243,2627995.579398067,1266460.046820018
2252;1364;2598979.5079897232,1223390.0578571148,2613200.91997745,1232003.7372315638
2363;1312;2600501.0700832373,1216339.748201114,2603117.9624140207,1217792.7159277273
2113;1222;2633883.5663510137,1250028.3441793956,2633984.9155262723,1250086.9569064025
2471;1115;2618423.653285288,1256179.331223297,2618486.1537921163,1256207.533596876
2463;1242;2628148.8483373374,1234829.0566900298,2638740.733241832,1240170.1533410172
2514;1118;2615700.5501755415,1255006.497508536,2616002.20543703,1255140.6465070816
1940;1091;2601976.576752265,1232572.257830448,2602024.8790631015,1232599.421655769
2076;1250;2595313.747641678,1218989.2797559022,2595466.7012222447,1219081.3760833147
2172;1231;2619595.2158114025,1232484.9485064102,2629633.223529159,1238174.0771899084
2136;1197;2602898.9820468724,1247398.8306385102,2603278.930146955,1247611.7509923484
2457;1241;2614111.037511149,1256109.4921777209,2614665.706411782,1256389.6485088912
2111;1346;2617869.574680411,1256831.2730291972,2630674.6591480426,1264995.9550251386
2092;1245;2627865.9624790545,1239205.7668987724,2637021.6194273164,1244654.5206753432
2248;1356;2599035.4598378413,1255914.2450534434,2611569.0433320557,1263474.5382999533
1970;1319;2609707.177168746,1244298.303343353,2610123.6715039727,1244577.164271355
2208;1300;2610367.994674039,1249852.190752504,2610730.767806423,1250065.7800061721
2088;1088;2597753.855019492,1246810.6878281806,2602053.6372655006,1249051.187389319
2203;1318;2601204.5354101327,1249960.684781141,2612961.8166133803,1256994.7731269784
2035;1331;2625656.5787886963,1234382.2749555523,2625998.604082798,1234605.9779857488
2044;1415;2636851.741635861,1245003.4990951295,2636891.4453447135,1245030.9847839877
2011;1354;2613224.4626395274,1244987.6769568815,2613274.4230865836,1245021.3151693696
2207;1313;2608698.911848229,1223349.3223019235,2625372.092024015,1233268.61798421
2163;1128;2590373.227740297,1217623.7806464972,2601000.395287846,1223165.8264133187
1935;1406;2605512.2737863176,1234958.9889872002,2649105.1101091933,1266634.197188732
2132;1264;2598191.9680895,1228926.0908398398,2628678.0993888504,1247000.4200904865
2029;1140;2605338.751664049,1231572.382490028,2611924.0675198687,1235272.3628131596
2437;1102;2614826.0751185953,1240868.5184611308,2627577.4066143096,1246634.6109142604
2539;1227;2595403.3759147464,1236211.7299133628,2614578.867817327,1245478.4997300096
2062;1249;2623880.3284640177,1238831.4027024424,2623910.8984462204,1238849.9196315263
2298;1354;2593938.6021073954,1216218.6075060766,2598581.763209481,1218954.3952050426
2177;1164;2603157.9692120953,1257657.0363955314,2603373.847966248,1257772.4626104299
2253;1404;2596869.2244813987,1254352.994921957,2601933.9941351614,1257509.2029085893
2266;1392;2593181.693141223,1227453.798634666,2602940.283442707,1233448.4842920648
2446;1093;2626616.4391136104,1254006.4415054312,2643024.032605475,1261338.2075261213
2475;1136;2609225.267186618,1251669.2550869714,2617826.7135503986,1255617.23208465
1942;1225;2600838.630135683,1258824.9846020946,2603390.7344673467,1260434.8341418924
2490;1342;2619639.7873373567,1238745.6367560832,2620117.8816072964,1239003.30844695
2091;1298;2602367.601563545,1226354.7668534177,2607903.2650965666,1229791.061098211
2528;1222;2606786.1656818306,1237076.1681169404,2610811.7373514576,1239022.073409774
1996;1201;2641272.5341682434,1241913.600681497,2642436.8557324177,1242614.1769332874
2166;1201;2607915.992931517,1259094.3254318815,2615750.153322094,1263438.1973751332
2386;1293;2598461.2444506646,1233320.288857704,2598674.913107036,1233436.0782846478
2101;1202;2610273.5913216057,1238710.4412902729,2610895.7696988326,1239066.3948406903
2314;1286;2639077.0328582474,1256688.0836306033,2639848.208805054,1257116.6628300818
1993;1248;2611112.359225842,1248825.45826826,2618774.090061887,1253623.1703020704
2275;1259;2613010.665421807,1258433.427355638,2613916.186433672,1258934.5486540718
2063;1229;2599465.301452188,1229272.9525541558,2602059.020074156,1230818.119876695
2171;1384;2632300.5937843495,1256458.8368392847,2639373.9476376656,1260968.0591944158
2354;1113;2602317.3763371008,1229376.357085549,2602358.448754755,1229395.7766271166
2532;1365;2600319.398009764,1217392.7517366754,2602483.218086398,1218559.2661144817
2282;1358;2635021.768511011,1248194.5373228395,2635144.433030307,1248267.5339999662
2280;1342;2610435.5004902664,1226703.354323928,2630414.2375834263,1238462.76887613
2365;1080;2634505.9432383296,1243500.2560592934,2643107.0602397877,1247428.0388760266
2337;1315;2599686.5647531515,1211003.8230289556,2623598.746428716,1224458.9017210254
2205;1328;2636928.2465483095,1241857.2140917615,2639123.0323262583,1243179.0623970297
2076;1223;2599978.0929209855,1233550.042884626,2600009.24437012,1233568.3946294677
2078;1402;2596595.8387422343,1247741.7368761392,2601440.829158449,1251010.5898903513
2289;1282;2604799.967082566,1255186.1912240623,2616834.3850752716,1261926.3065000116
2289;1386;2596184.860703298,1218337.738369781,2596835.8508056635,1218731.9158629565
2048;1370;2625484.3040057365,1245117.4616687926,2636112.2998476475,1252227.0096685085
2055;1254;2606635.0880771596,1233629.0745827588,2613000.4319046447,1237513.328188436
2163;1237;2603520.4983401997,1247091.9368839792,2603666.9706009477,1247175.7030358727
2001;1219;2608474.7286120607,1239594.3511421809,2628117.6825998435,1251560.748399106
2543;1097;2613995.943324277,1253355.249756475,2628580.114488641,1259646.5732984752
2383;1161;2603532.8514139657,1226462.1845629273,2645462.6998528247,1246890.4489513098
2330;1174;2603372.2281167926,1235801.015486524,2610057.154691834,1239169.3003788409
2399;1401;2607897.1601647567,1257219.564519465,2628917.704379402,1269495.4221454416
2090;1234;2610007.2673020633,1248197.2316176593,2629119.780413267,1259481.8446220737
2168;1225;2607244.3152584787,1212475.5828369616,2626743.856364456,1223493.5431021007
2543;1249;2603349.8589840867,1213159.2515633719,2637572.919455927,1229967.9824046337
2135;1126;2608860.5962359565,1241619.0066495212,2614589.9095590855,1244640.6491796584
2336;1157;2623575.1361793764,1238785.0446601629,2624742.0911162943,1239363.0270497233
2258;1132;2593546.0002813376,1212539.7593666436,2626092.3906473415,1228856.1959894584
2497;1117;2611255.7044831757,1217063.786664246,2647482.0190581083,1233269.1504528723
2526;1416;2624897.8800479798,1236544.7147607862,2625541.5078851124,1236905.513263312
2388;1178;2626459.129855365,1242103.1191701056,2626535.83731811,1242140.9589486285
2383;1165;2614970.788963195,1235685.1430925385,2619490.3250139477,1237894.6519045935
2197;1275;2604486.679200539,1214678.6104390728,2643419.466074522,1237272.740281735
2015;1169;2602199.352074681,1260762.845805146,2609936.0590437073,1265251.287714224
2096;1282;2625413.9754570504,1233209.5070265806,2631157.3910653326,1236722.416764089
2508;1295;2604976.7409677138,1223603.9715780737,2605113.5557753877,1223674.6155876182
2497;1367;2637024.7401045677,1247392.0730097378,2637343.797612378,1247566.743259308
2409;1356;2627014.97813121,1245152.0543242889,2642185.273945196,1253691.249477367
2013;1128;2605669.7153744726,1220490.733542042,2605878.552199805,1220607.756859963
2420;1358;2602497.788944166,1213056.8942834502,2630775.6235754304,1228925.19983273
2486;1135;2595725.368796468,1224224.0435514925,2597624.7951540444,1225091.2394146663
1983;1236;2637946.719434511,1240122.0797026386,2641562.6230397057,1242375.8653082969
1995;1204;2601918.038602369,1220082.8825057694,2602778.154880968,1220601.9702247838
2309;1407;2638407.294387195,1246962.387129317,2638959.066275899,1247298.6119224774
2366;1162;2631377.89190172,1248544.2179142826,2633019.1446530917,1249350.2769578558
2041;1430;2617142.9481217023,1259418.3878538888,2618739.7888571518,1260537.1934647136
2242;1170;2611482.6038694037,1235393.0667560752,2615941.351096037,1237719.8884577523
2274;1311;2625718.964676356,1240205.6266728786,2625943.239646662,1240334.9250396646
2049;1203;2612661.802320825,1253457.786986009,2613208.655565533,1253778.8530930777
2254;1222;2640130.303329781,1246355.739908552,2640666.9775392995,1246646.6963788408
2309;1120;2622058.1847449252,1236916.4979240452,2633781.7008268386,1242603.08866105
2516;1187;2618477.1527114958,1258236.1106049276,2618538.2951452183,1258264.9564192474
2257;1172;2601681.5982848844,1243284.6176566621,2607392.7668328267,1246250.2754050838
2410;1209;2621512.7210758845,1235842.2570312347,2621909.87453688,1236041.4929376014
1970;1091;2606665.2731631077,1218544.3650915748,2617626.613720833,1224614.833390295
1936;1439;2599822.3812624738,1249956.8730171104,2600247.107277047,1250272.5655455044
2235;1399;2615295.9781627846,1248810.8650345856,2627000.380499695,1256137.2448418958
2442;1333;2599065.072560413,1220068.4939686672,2600779.304601929,1221004.231606399
2106;1438;2596601.0337455305,1251982.9754100365,2597191.4337252597,1252386.1070201274
2158;1327;2612787.7098951023,1237296.2072443664,2612948.3651558347,1237394.9975738344
2444;1276;2622726.043876708,1237228.0400588072,2622948.8589893053,1237344.3706986082
2163;1278;2603870.2593041416,1237153.2464277074,2647868.1960871415,1263149.2534589944
2381;1082;2606966.4049815275,1249454.8856784634,2622122.4854405755,1256342.2771344443
2376;1267;2595582.29318049,1253254.9359907089,2614982.983918844,1263600.3379963883
2115;1366;2605891.4747760803,1221308.956817399,2605992.132593446,1221373.9679656357
2088;1133;2623975.860221094,1237239.729097343,2624094.200900652,1237303.9436519118
2100;1242;2598503.2404012014,1225127.3918091077,2599568.8276777207,1225757.6105697919
2550;1236;2607023.701017445,1248119.3357110838,2611959.1692754747,1250511.586207917
1966;1242;2629261.0450601475,1239461.6199238864,2629317.502156292,1239497.2861056826
2331;1254;2594527.9367437544,1227255.0053317887,2605565.1087966817,1233192.634570043
2203;1296;2612215.4818840674,1252341.9293591443,2614068.1217677607,1253431.8164627606
2319;1276;2616616.128130924,1258730.9473991073,2634875.304605812,1268777.8250109903
2112;1144;2612669.6620913404,1246827.8545548273,2612733.078855176,1246862.205301905
2314;1218;2605871.965258331,1217864.284578155,2632945.0064781737,1232114.4851856607
2434;1338;2597969.7591429087,1235332.1860073449,2606840.93127079,1240208.7793956378
2016;1121;2605573.218671544,1258206.6624967018,2614700.159074253,1263281.7121948348
2125;1198;2626504.5175660537,1225500.0226443266,2647886.4834260787,1237554.4203385902
1943;1424;2594643.13075917,1241782.5638761597,2621231.031546827,1261268.4983700474
1920;1271;2605461.904931154,1210715.742006837,2620877.0929290336,1220920.2753116828
2478;1107;2625914.484124964,1246013.3561755645,2630347.7339943107,1247993.8273641707
1969;1318;2596207.7728354903,1232394.8342185637,2599014.8975628596,1234273.8542239845
1922;1293;2602218.0711247963,1215035.1184979673,2602597.4287063205,1215290.3262778376
2397;1282;2629213.2911157506,1237243.5536815643,2629275.1718012765,1237276.6496510443
2315;1132;2607940.218897758,1218833.4102632448,2631927.3314923467,1230562.7456658685
2111;1124;2610184.5868008547,1233872.6892179945,2620784.303680584,1239516.4986792998
2069;1134;2624089.93318205,1238131.202569272,2632458.7381962626,1242718.0681498023
2497;1256;2602320.375499117,1232921.3824863457,2604711.063229313,1234123.90703145
2293;1422;2618452.515606123,1216429.225054254,2634854.3427995667,1226600.7899339215
2389;1202;2599454.346786587,1222250.9034999062,2608150.872183724,1226626.467973476
2555;1411;2621898.9863710604,1235235.4015778736,2623907.9830401163,1236344.870971235
2512;1328;2591072.028115928,1226067.5744528398,2595643.1529217456,1228484.1563565522
2219;1401;2641025.6652866174,1237203.5157515248,2648979.446656961,1242225.258743797
2016;1260;2607530.126247877,1236656.7033421567,2608118.206388392,1237024.2534299789
2128;1314;2599230.7730902997,1226853.125353628,2612776.407376259,1235217.2999080222
1950;1194;2604518.8310401435,1210758.1613314506,2626998.2035978283,1224522.454066771
1985;1311;2614397.002648246,1226755.3740661712,2632435.9903741074,1238669.284851362
2335;1280;2635149.8363139643,1248030.7798758573,2635198.2869239724,1248057.3395250267
2381;1166;2621826.3261310635,1238350.4503077113,2621868.955082395,1238371.326140241
2111;1303;2614920.1959034274,1253019.6871639788,2633729.805792467,1264629.787441297
2512;1301;2606511.2872843444,1230707.1716989563,2608110.811660175,1231535.5877869162
2326;1224;2600141.1316798646,1231185.542911672,2600606.0419179266,1231430.1904316153
2047;1106;2603122.315447503,1226391.064337197,2603155.5955019807,1226409.0456465536
2110;1121;2601691.858779998,1233541.8390353716,2602012.7807889082,1233712.3383585887
2273;1265;2595386.7145066257,1251176.6324021704,2596120.4941837466,1251585.0051657245
2107;1370;2641170.1332675624,1242360.3356779327,2645641.0367803224,1245267.3778290867
2191;1336;2603749.8035308626,1228738.4074187428,2603773.704813918,1228752.9816378946
2407;1427;2593463.932883481,1224407.3401681872,2598199.6899336814,1227214.9535087089
2022;1105;2613674.4012706014,1230237.2613698507,2622261.8284118962,1234930.1926216462
2497;1364;2607653.537334042,1242159.679065764,2614154.297295485,1245710.7549918387
2105;1121;2626118.100497428,1232202.3902341335,2629467.564865612,1233986.1192397077
2288;1089;2595981.8780348157,1216250.226198063,2597668.943336519,1217053.204394547
1989;1259;2618996.594623651,1239705.410576581,2643127.5109913344,1254979.8317464725
2526;1153;2601234.265462487,1229927.0058297515,2609686.9500735356,1233785.2581482548
2517;1313;2619815.656049777,1237611.7024377142,2631371.8471155763,1243640.0214164169
2496;1434;2596477.667265358,1239833.429340919,2609565.5272076936,1247352.6565674054
2545;1428;2635865.82555544,1243048.41620487,2637991.3827579115,1244241.0667687713
2493;1293;2602171.544023275,1256551.5672721611,2602207.410112928,1256570.169299406
2427;1193;2635329.342065996,1249065.6110168013,2645880.134377884,1254251.8884078532
2356;1219;2611185.673986525,1242068.8658464449,2612062.7867853143,1242522.686093357
2305;1133;2609346.1383361886,1212795.0673743773,2631833.5278777485,1223848.5217564108
2259;1253;2598138.7470248193,1232223.350056539,2599091.824533889,1232751.993756789
2279;1098;2593386.45900453,1227593.2008522996,2593570.039661261,1227681.648224432
2354;1366;2617337.075000594,1253003.7469098524,2621717.0235633063,1255545.3823120038
2025;1289;2610428.3072205978,1244132.046097148,2610691.705122183,1244299.7102428975
2318;1219;2608012.5660934607,1235072.6368977453,2616626.8877263432,1239602.774115383
2491;1283;2603618.390819869,1226528.1496027333,2603692.041795183,1226566.0838465423
1984;1306;2599422.8017714364,1229112.7897638106,2600858.746879811,1230058.0237918035
2480;1388;2606175.3180364855,1259466.243402806,2606203.1571406806,1259481.8243207992
1924;1411;2608768.570838387,1248540.9638806717,2608805.182695412,1248567.8138444251
2008;1246;2624700.090542591,1235134.2331114681,2634273.4298530472,1241074.6617871793
2108;1100;2644415.3935557944,1249374.3999364157,2644911.5820850865,1249633.3218444907
2023;1430;2637096.452704929,1248495.7590740672,2638129.4839471495,1249225.9788844357
2075;1367;2611936.174234337,1219886.7897660276,2636670.6922553023,1236181.771035743
2149;1248;2590651.0967395892,1247632.159249162,2603917.43884724,1255336.3914270808
2173;1209;2607513.6094624787,1244765.806426537,2608434.1961528393,1245277.9966283992
2283;1341;2611247.3826159136,1231427.2899983155,2614156.2199405143,1233135.8974675622
2348;1390;2610103.5586394216,1227005.704972828,2623482.3453668407,1234925.8555482596
2398;1344;2599792.267074374,1214814.5112821306,2623794.892084193,1228267.191854773
1924;1215;2609130.5498996717,1235879.5487350093,2609162.039666519,1235899.4344245724
2400;1110;2606156.284925855,1244252.1730619273,2612878.376171025,1247361.1402628184
2322;1385;2636593.6325744474,1239895.66568127,2643603.4120946378,1244076.778788705
2212;1298;2625755.836679374,1233686.0192668862,2626565.2812553905,1234161.0007585995
2141;1243;2601388.0361835305,1233053.5177099693,2602692.930211871,1233811.0998104957
2375;1303;2597709.3616513577,1219208.5423867984,2616316.991073862,1229417.2754973343
2480;1398;2624362.1268345574,1228751.0743516083,2638169.533856269,1236534.4433098151
2531;1320;2639488.2549526594,1251151.4973966973,2648442.4594728365,1255821.410461349
2191;1118;2638079.594722775,1244843.7638503672,2638154.985988274,1244882.2336973906
2065;1437;2628185.774790071,1244474.2908358348,2630875.2623630716,1246345.861606974
2016;1216;2591819.090702937,1229889.8972985656,2593941.247788664,1231169.9285566234
2229;1202;2607802.3521818747,1243283.3333024555,2631435.3654454886,1256027.5602844493
1979;1095;2629285.2792612845,1238661.0069216848,2632987.115322831,1240709.2689163252
2429;1197;2639652.3937018155,1241843.9385915364,2639707.9716719394,1241871.3271589463
2511;1397;2600471.1158401878,1231570.5547113162,2647776.075589949,1257888.7660894194
2301;1360;2591693.535041515,1243459.2425603555,2612731.799003574,1255893.8531593992
2511;1331;2611745.4402790116,1223893.1453028645,2640528.7319470095,1239150.2385765023
1984;1421;2609501.5331908097,1225723.996420567,2612497.162483631,1227869.5555057982
2337;1238;2602168.086232288,1232166.4363597853,2605105.337594161,1233722.4129049277
2151;1103;2612933.7800125633,1227624.6009983376,2620901.437739833,1231710.294384288
2406;1185;2607311.794529899,1251764.0412881286,2614133.7492440483,1255123.981577516
2084;1129;2610582.3070563814,1233929.8826595554,2620601.923595492,1239357.9762644763
1930;1221;2608354.462174772,1238081.6232246943,2611350.4749579155,1239977.028203046
2533;1366;2638105.7611736134,1243562.8594382282,2638614.076249646,1243836.9843469767
2171;1144;2622171.553726631,1238001.7657310246,2623518.233100922,1238711.3931857408
2270;1125;2613162.153669312,1239894.7721937133,2613226.3874601615,1239926.6061208963
2343;1114;2605023.842704651,1223565.9363802753,2606130.4290452683,1224092.072608806
2216;1436;2612006.2241733675,1237888.9081039461,2612537.534641123,1238233.2049594051
2159;1437;2610586.67986031,1247939.8765633483,2610727.1644613664,1248033.381135705
2189;1109;2596362.4132912257,1257876.0084602267,2599142.3793422463,1259284.406062137
2197;1388;2596526.3107553027,1229392.0263381347,2607304.64309628,1236201.4597879646
2432;1181;2604474.7242018515,1235818.7320469215,2614450.4829014307,1240663.0457904257
2050;1402;2598281.9145012666,1216428.2227975868,2601375.6898207422,1218544.06328437
2069;1208;2600580.6235802607,1227478.4703985553,2618013.0654962757,1237656.5225177172
2212;1416;2592419.349452673,1247099.5489681372,2600219.506691924,1252092.7780146017
2140;1407;2613376.0212801187,1246550.1387524144,2613476.832716052,1246616.419916133
2153;1363;2628285.7642482384,1236687.4212537918,2630838.7446443303,1238303.6368970212
2453;1231;2603281.4330490693,1251258.0779575987,2609424.9025564683,1254341.082834732
2009;1263;2610646.596132514,1226585.4690205085,2618041.384413991,1231234.3578206606
2429;1411;2628597.0231484524,1241634.827855338,2630469.1635292596,1242722.3495010028
2388;1168;2606167.8048451426,1221963.6299199504,2606598.830251709,1222174.449716797
2265;1373;2605793.652311509,1239302.0370240945,2609402.532698396,1241489.6718016642
2504;1233;2600262.1578991604,1220264.4426363807,2616843.158224434,1228429.1284994248
2357;1154;2612619.8038407173,1249167.8075285219,2641598.3939561322,1263355.8826210927
2376;1217;2624172.7481753333,1240616.5043033108,2627811.111363941,1242480.093529125
2411;1146;2606958.5084867906,1242826.666029662,2610955.2687826557,1244726.411902354
2277;1253;2617131.5648491,1226616.8710549956,2617191.226349935,1226649.7019116252
2545;1102;2618347.0033744676,1254545.7014052712,2618376.205187369,1254558.3459623705
2282;1381;2602936.390811935,1229263.7357524652,2603259.812436953,1229459.4611092359
2296;1141;2602416.0520389024,1219796.7642683173,2611644.925699874,1224383.0642888611
2474;1088;2602903.936087639,1227986.6161127186,2603015.8200229984,1228035.8197188915
2498;1293;2628159.6003906834,1233236.5373278612,2642063.543996291,1240433.4144623887
2397;1431;2595841.424447108,1251355.9483954054,2606852.507766013,1257929.5237935497
2378;1395;2593732.440802793,1225204.9828297556,2609965.108780725,1234727.510932874
2024;1175;2605320.6166200964,1234521.7596711195,2605772.6035524877,1234784.1532707042
